price_date;base_precio;base_dif;base_dif_per;punta_precio;punta_dif;punta_dif_per;emission_date;create_time
Day 9-Jun-2022;182.67;-2.78;-1.5;177.84;-9.36;-5.0;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 10-Jun-2022;182.67;-2.78;-1.5;184.39;-2.81;-1.5;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 11-Jun-2022;185.81;0.0;0.0;;;;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 12-Jun-2022;164.33;0.0;0.0;;;;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 13-Jun-2022;188.86;-12.87;-6.38;190.64;-12.99;-6.38;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 14-Jun-2022;188.86;-12.87;-6.38;190.64;-12.99;-6.38;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 15-Jun-2022;188.86;-12.87;-6.38;190.64;-12.99;-6.38;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 16-Jun-2022;188.86;-12.87;-6.38;190.64;-12.99;-6.38;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 17-Jun-2022;188.86;-12.87;-6.38;190.64;-12.99;-6.38;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 18-Jun-2022;170.99;-11.66;-6.38;;;;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 19-Jun-2022;151.23;-10.3;-6.38;;;;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 20-Jun-2022;188.73;-12.87;-6.38;190.51;-12.99;-6.38;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 21-Jun-2022;188.73;-12.87;-6.38;190.51;-12.99;-6.38;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 22-Jun-2022;188.73;-12.87;-6.38;190.51;-12.99;-6.38;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 23-Jun-2022;188.73;-12.87;-6.38;190.51;-12.99;-6.38;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 24-Jun-2022;188.73;-12.87;-6.38;190.51;-12.99;-6.38;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 25-Jun-2022;170.88;-11.65;-6.38;;;;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 26-Jun-2022;151.12;-10.31;-6.39;;;;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 27-Jun-2022;185.61;-12.87;-6.48;187.36;-12.99;-6.48;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 28-Jun-2022;185.61;-12.87;-6.48;187.36;-12.99;-6.48;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 29-Jun-2022;185.61;-12.87;-6.48;187.36;-12.99;-6.48;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 30-Jun-2022;185.61;-12.87;-6.48;187.36;-12.99;-6.48;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 1-Jul-2022;185.61;-12.87;-6.48;187.36;-12.99;-6.48;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 2-Jul-2022;168.04;-11.65;-6.48;;;;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 3-Jul-2022;148.62;-10.31;-6.49;;;;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 4-Jul-2022;172.27;-12.87;-6.95;173.89;-12.99;-6.95;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 5-Jul-2022;172.27;-12.87;-6.95;173.89;-12.99;-6.95;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 6-Jul-2022;172.27;-12.87;-6.95;173.89;-12.99;-6.95;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 7-Jul-2022;172.27;-12.87;-6.95;173.89;-12.99;-6.95;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 8-Jul-2022;172.27;-12.87;-6.95;173.89;-12.99;-6.95;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 9-Jul-2022;155.96;-11.66;-6.96;;;;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 10-Jul-2022;137.94;-10.31;-6.95;;;;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 11-Jul-2022;171.08;-13.24;-7.18;172.69;-13.37;-7.19;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 12-Jul-2022;171.08;-13.24;-7.18;172.69;-13.37;-7.19;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 13-Jul-2022;171.08;-13.24;-7.18;172.69;-13.37;-7.19;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 14-Jul-2022;171.08;-13.24;-7.18;172.69;-13.37;-7.19;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 15-Jul-2022;171.08;-13.24;-7.18;172.69;-13.37;-7.19;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 16-Jul-2022;154.89;-11.98;-7.18;;;;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 17-Jul-2022;136.99;-10.6;-7.18;;;;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 18-Jul-2022;171.08;-13.24;-7.18;172.69;-13.37;-7.19;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 19-Jul-2022;171.08;-13.24;-7.18;172.69;-13.37;-7.19;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 20-Jul-2022;171.08;-13.24;-7.18;172.69;-13.37;-7.19;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 21-Jul-2022;171.08;-13.24;-7.18;172.69;-13.37;-7.19;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 22-Jul-2022;171.08;-13.24;-7.18;172.69;-13.37;-7.19;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 23-Jul-2022;154.89;-11.98;-7.18;;;;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 24-Jul-2022;136.99;-10.6;-7.18;;;;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 25-Jul-2022;171.08;-13.24;-7.18;172.69;-13.37;-7.19;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 26-Jul-2022;171.08;-13.24;-7.18;172.69;-13.37;-7.19;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 27-Jul-2022;171.08;-13.24;-7.18;172.69;-13.37;-7.19;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 28-Jul-2022;171.08;-13.24;-7.18;172.69;-13.37;-7.19;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 29-Jul-2022;171.08;-13.24;-7.18;172.69;-13.37;-7.19;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 30-Jul-2022;154.89;-11.98;-7.18;;;;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Day 31-Jul-2022;136.99;-10.6;-7.18;;;;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Weekend 23-2022;175.07;0.0;0.0;;;;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Weekend 24-2022;161.11;-10.98;-6.38;;;;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Weekend 25-2022;161.0;-10.98;-6.38;;;;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Weekend 26-2022;158.33;-10.98;-6.49;;;;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Week 24-2022;180.93;-12.33;-6.38;191.17;-13.03;-6.38;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Week 25-2022;180.81;-12.33;-6.38;191.05;-13.02;-6.38;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Week 26-2022;177.82;-12.33;-6.48;;;;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Week 27-2022;165.04;-12.33;-6.95;;;;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Month Jul-2022;164.5;-12.5;-7.06;173.81;-13.21;-7.06;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Month Aug-2022;150.0;-12.0;-7.41;158.49;-12.68;-7.41;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Month Sep-2022;153.3;-14.7;-8.75;161.98;-15.53;-8.75;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Month Oct-2022;153.39;-10.5;-6.41;162.07;-11.1;-6.41;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Month Nov-2022;145.42;-10.5;-6.73;153.65;-11.1;-6.74;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Month Dec-2022;151.03;-10.5;-6.5;159.58;-11.09;-6.5;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Quarter 3-2022;155.96;-13.05;-7.72;164.79;-13.79;-7.72;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Quarter 4-2022;150.0;-10.5;-6.54;158.49;-11.1;-6.55;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Quarter 1-2023;161.0;-7.0;-4.17;170.11;-7.4;-4.17;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Quarter 2-2023;152.0;-6.0;-3.8;160.6;-6.34;-3.8;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Quarter 3-2023;150.55;-1.05;-0.69;159.07;-1.11;-0.69;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Quarter 4-2023;154.56;-1.06;-0.68;163.31;-1.12;-0.68;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Quarter 1-2024;108.24;-1.5;-1.37;114.37;-1.58;-1.36;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Quarter 2-2024;90.05;-1.5;-1.64;95.15;-1.58;-1.63;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Year 2023;154.5;-3.75;-2.37;163.25;-3.96;-2.37;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Year 2024;101.0;-1.5;-1.46;;;;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Year 2025;72.0;-1.0;-1.37;;;;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Year 2026;59.0;-1.0;-1.67;;;;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Year 2027;51.5;-1.0;-1.9;;;;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Year 2028;47.8;-1.0;-2.05;;;;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Year 2029;46.8;-1.0;-2.09;;;;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Year 2030;46.45;-1.0;-2.11;;;;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Year 2031;46.3;-1.0;-2.11;;;;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
Year 2032;46.15;-1.0;-2.12;;;;"WEDNESDAY, 8 JUNE, 2022";2022-06-10 10:51:30.102571+00:00
